Note,Time On (s),Time Off (s)
56,0.857142,1.2857129999999999
56,1.2857129999999999,1.571427
56,1.571427,1.714284
58,2.5714259999999998,2.999997
58,2.999997,3.2857109999999996
58,3.2857109999999996,3.428568
56,4.28571,4.714281
56,4.714281,4.999994999999999
56,4.999994999999999,5.1428519999999995
58,5.999994,6.428565
58,6.428565,6.714279
58,6.714279,6.857136
56,7.714278,8.142849
56,8.142849,8.428562999999999
56,8.428562999999999,8.57142
58,9.428562,9.857133
58,9.857133,10.142847
58,10.142847,10.285703999999999
56,11.142845999999999,11.571416999999999
56,11.571416999999999,11.857131
56,11.857131,11.999988
58,12.85713,13.285700999999998
58,13.285700999999998,13.571415
58,13.571415,13.714272
56,14.571413999999999,14.999985
56,14.999985,15.285699
56,15.285699,15.428556
58,16.285698,16.714268999999998
58,16.714268999999998,16.999983
58,16.999983,17.14284
56,17.999982,18.428552999999997
56,18.428552999999997,18.714267
56,18.714267,18.857124
58,19.714266,20.142837
58,20.142837,20.428551
58,20.428551,20.571407999999998
56,21.42855,21.857120999999996
56,21.857120999999996,22.142835
56,22.142835,22.285691999999997
58,23.142833999999997,23.571405
58,23.571405,23.857118999999997
58,23.857118999999997,23.999976
56,24.857118,25.285689
56,25.285689,25.571403
56,25.571403,25.71426
55,26.571401999999996,26.999972999999997
55,26.999972999999997,27.285687
55,27.285687,27.428544
56,28.285686,28.714257
56,28.714257,28.999971
56,28.999971,29.142827999999998
58,29.99997,30.428541
58,30.428541,30.714254999999998
58,30.714254999999998,30.857112
55,30.857112,31.285682999999995
55,31.285682999999995,31.571397
55,31.571397,31.714253999999997
55,31.714253999999997,32.142824999999995
55,32.142824999999995,32.428539
55,32.428539,32.571396
55,32.571396,32.999967
55,32.999967,33.285681
55,33.285681,33.428537999999996
55,33.428537999999996,33.857109
55,33.857109,34.142823
55,34.142823,34.28568
56,35.142822,35.571393
56,35.571393,35.857107
56,35.857107,35.999964
58,36.857105999999995,37.285677
58,37.285677,37.571391
58,37.571391,37.714248
56,38.57139,38.999961
56,38.999961,39.285675
56,39.285675,39.428532
55,40.285674,40.714245
55,40.714245,40.999959
55,40.999959,41.142815999999996
56,41.999958,42.428529
56,42.428529,42.714243
